filename,width,height,filesize,brightness,sharpness,blurry_flag
GVLiD\Black rot\black rot069.jpg,1080,1080,272572,126.17585042438272,165.03550720214844,1
GVLiD\Black rot\black rot070.jpg,1080,1080,272572,126.17585042438272,165.03550720214844,1
GVLiD\Black rot\black rot071.jpg,1080,1080,272572,126.17585042438272,165.03550720214844,1
GVLiD\Black rot\black rot072.jpg,1080,1080,272572,126.17585042438272,165.03550720214844,1
GVLiD\Black rot\black rot073.jpg,1080,1080,269244,118.08154276577508,221.4403839111328,1
GVLiD\Black rot\black rot074.jpg,1080,1080,269244,118.08154276577508,221.4403839111328,1
GVLiD\Black rot\black rot075.jpg,1080,1080,269244,118.08154276577508,221.4403839111328,1
GVLiD\Black rot\black rot076.jpg,1080,1080,269244,118.08154276577508,221.4403839111328,1
GVLiD\Black rot\black rot077.jpg,1080,1080,297269,132.16599193758563,239.66598510742188,1
GVLiD\Black rot\black rot078.jpg,1080,1080,297269,132.16599193758563,239.66598510742188,1
GVLiD\Black rot\black rot079.jpg,1080,1080,326296,121.00980548525379,327.03900146484375,1
GVLiD\Black rot\black rot080.jpg,1080,1080,326296,121.00980548525379,327.03900146484375,1
GVLiD\Black rot\black rot081.jpg,1080,1080,326296,121.00980548525379,327.03900146484375,1
GVLiD\Black rot\black rot082.jpg,1080,1080,326296,121.00980548525379,327.03900146484375,1
GVLiD\Black rot\black rot083.jpg,1080,1080,272572,126.17585042438272,165.03550720214844,1
GVLiD\Black rot\black rot084.jpg,1080,1080,272572,126.17585042438272,165.03550720214844,1
GVLiD\Black rot\black rot085.jpg,1080,1080,269244,118.08154276577508,221.4403839111328,1
GVLiD\Black rot\black rot086.jpg,1080,1080,269244,118.08154276577508,221.4403839111328,1
GVLiD\Black rot\black rot087.jpg,1080,1080,297269,132.16599193758563,239.66598510742188,1
GVLiD\Black rot\black rot088.jpg,1080,1080,326296,121.00980548525379,327.03900146484375,1
GVLiD\Black rot\black rot089.jpg,1080,1080,326296,121.00980548525379,327.03900146484375,1
GVLiD\Black rot\black rot090.jpg,1080,1080,297269,132.16599193758563,239.66598510742188,1
GVLiD\Black rot\black rot091.jpg,1080,1080,272572,126.17585042438272,165.03550720214844,1
GVLiD\Black rot\black rot092.jpg,1080,1080,272572,126.17585042438272,165.03550720214844,1
GVLiD\Black rot\black rot093.jpg,1080,1080,269244,118.08154276577508,221.4403839111328,1
GVLiD\Black rot\black rot094.jpg,1080,1080,269244,118.08154276577508,221.4403839111328,1
GVLiD\Black rot\black rot095.jpg,1080,1080,326296,121.00980548525379,327.03900146484375,1
GVLiD\Black rot\black rot096.jpg,1080,1080,326296,121.00980548525379,327.03900146484375,1
GVLiD\Black rot\black rot097.jpg,1080,1080,174199,150.530358894033,43.2703971862793,1
GVLiD\Black rot\black rot098.jpg,1080,1080,174199,150.530358894033,43.2703971862793,1
GVLiD\Black rot\black rot099.jpg,1080,1080,174199,150.530358894033,43.2703971862793,1
GVLiD\Black rot\black rot100.jpg,1080,1080,174199,150.530358894033,43.2703971862793,1
GVLiD\Black rot\black rot101.jpg,1080,1080,184481,115.87900211334016,107.02371978759766,1
GVLiD\Black rot\black rot102.jpg,1080,1080,184481,115.87900211334016,107.02371978759766,1
GVLiD\Black rot\black rot103.jpg,1080,1080,184481,115.87900211334016,107.02371978759766,1
GVLiD\Black rot\black rot104.jpg,1080,1080,184481,115.87900211334016,107.02371978759766,1
GVLiD\Black rot\black rot105.jpg,1080,1080,174199,150.530358894033,43.2703971862793,1
GVLiD\Black rot\black rot106.jpg,1080,1080,174199,150.530358894033,43.2703971862793,1
GVLiD\Black rot\black rot107.jpg,1080,1080,184481,115.87900211334016,107.02371978759766,1
GVLiD\Black rot\black rot108.jpg,1080,1080,184481,115.87900211334016,107.02371978759766,1
GVLiD\Black rot\black rot109.jpg,1080,1080,174199,150.530358894033,43.2703971862793,1
GVLiD\Black rot\black rot110.jpg,1080,1080,174199,150.530358894033,43.2703971862793,1
GVLiD\Black rot\black rot111.jpg,1080,1080,184481,115.87900211334016,107.02371978759766,1
GVLiD\Black rot\black rot112.jpg,1080,1080,184481,115.87900211334016,107.02371978759766,1
GVLiD\Black rot\black rot113.jpg,1080,1080,157689,112.78893541752403,51.708229064941406,1
GVLiD\Black rot\black rot114.jpg,1080,1080,157689,112.78893541752403,51.708229064941406,1
GVLiD\Black rot\black rot115.jpg,1080,1080,157689,112.78893541752403,51.708229064941406,1
GVLiD\Black rot\black rot116.jpg,1080,1080,157689,112.78893541752403,51.708229064941406,1
GVLiD\Black rot\black rot117.jpg,1080,1080,157689,112.78893541752403,51.708229064941406,1
GVLiD\Black rot\black rot118.jpg,1080,1080,157689,112.78893541752403,51.708229064941406,1
GVLiD\Black rot\black rot119.jpg,1080,1080,157689,112.78893541752403,51.708229064941406,1
GVLiD\Black rot\black rot120.jpg,1080,1080,157689,112.78893541752403,51.708229064941406,1
GVLiD\Black rot\black rot121.jpg,1080,1080,246550,115.14372661179698,119.94242858886719,1
GVLiD\Black rot\black rot122.jpg,1080,1080,246550,115.14372661179698,119.94242858886719,1
GVLiD\Black rot\black rot123.jpg,1080,1080,246550,115.14372661179698,119.94242858886719,1
GVLiD\Black rot\black rot124.jpg,1080,1080,246550,115.14372661179698,119.94242858886719,1
GVLiD\Black rot\black rot125.jpg,1080,1080,246550,115.14372661179698,119.94242858886719,1
GVLiD\Black rot\black rot126.jpg,1080,1080,246550,115.14372661179698,119.94242858886719,1
GVLiD\Black rot\black rot127.jpg,1080,1080,246550,115.14372661179698,119.94242858886719,1
GVLiD\Black rot\black rot128.jpg,1080,1080,246550,115.14372661179698,119.94242858886719,1
GVLiD\Black rot\black rot129.jpg,1080,1080,246550,115.14372661179698,119.94242858886719,1
GVLiD\Black rot\black rot130.jpg,1080,1080,246550,115.14372661179698,119.94242858886719,1
GVLiD\Black rot\black rot131.jpg,1080,1080,246550,115.14372661179698,119.94242858886719,1
